trial,NCT,phenotype_branch_id,phenotype_branch_name,criterion_id,criterion_description,criterion_role,necessary_for_branch,source_type,source_citation_or_asset,exact_source_location,observability_class,nhanes_variable,nhanes_operational_definition,proxy_limitation,unavailable_reason,notes
PIONEER 6,NCT02692716,PIONEER6-B1,Age ≥50 with observable component of cardiovascular disease,PIONEER 6-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02692716; manuscript reference [27],criterion_segment_id=NCT02692716-S009,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Alternative OR branch preserved. this is the observable subbranch; the source-defined residual is retained separately.
PIONEER 6,NCT02692716,PIONEER6-B1,Age ≥50 with observable component of cardiovascular disease,PIONEER 6-AGE50,Age ≥50 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02692716; manuscript reference [27],criterion_segment_id=NCT02692716-S001,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,,,Alternative OR branch preserved. this is the observable subbranch; the source-defined residual is retained separately.
PIONEER 6,NCT02692716,PIONEER6-B1,Age ≥50 with observable component of cardiovascular disease,PIONEER 6-ASCVD,Established coronary or cerebrovascular disease phenotype,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02692716; manuscript reference [27],criterion_segment_id=NCT02692716-S001,PROXY_OBSERVABLE,MCQ160C;MCQ160E;MCQ160F,Three-valued OR: any yes=positive; all no=negative; otherwise unresolved. Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,"Self-report captures CHD, MI, and stroke but not imaging stenosis, all revascularization constructs, or symptomatic PAD. All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.",,Alternative OR branch preserved. this is the observable subbranch; the source-defined residual is retained separately.
PIONEER 6,NCT02692716,PIONEER6-B1-RESIDUAL,Age ≥50 with residual source-defined cardiovascular disease,PIONEER 6-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02692716; manuscript reference [27],criterion_segment_id=NCT02692716-S009,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Alternative OR branch preserved. this is the observable subbranch; the source-defined residual is retained separately.
PIONEER 6,NCT02692716,PIONEER6-B1-RESIDUAL,Age ≥50 with residual source-defined cardiovascular disease,PIONEER 6-AGE50,Age ≥50 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02692716; manuscript reference [27],criterion_segment_id=NCT02692716-S001,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,,,Alternative OR branch preserved. this is the observable subbranch; the source-defined residual is retained separately.
PIONEER 6,NCT02692716,PIONEER6-B1-RESIDUAL,Age ≥50 with residual source-defined cardiovascular disease,PIONEER 6-CVD-RESIDUAL,Cardiovascular disease outside the specified CHD/MI/stroke proxy,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02692716; manuscript reference [27],criterion_segment_id=NCT02692716-S001,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,The source uses broad cardiovascular disease; residual manifestations are structurally unavailable.,source phenotype precedes NHANES observability.
PIONEER 6,NCT02692716,PIONEER6-B2,Age ≥50 with trial-defined CKD,PIONEER 6-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02692716; manuscript reference [27],criterion_segment_id=NCT02692716-S009,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Alternative OR branch preserved.
PIONEER 6,NCT02692716,PIONEER6-B2,Age ≥50 with trial-defined CKD,PIONEER 6-AGE50,Age ≥50 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02692716; manuscript reference [27],criterion_segment_id=NCT02692716-S001,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,,,Alternative OR branch preserved.
PIONEER 6,NCT02692716,PIONEER6-B2,Age ≥50 with trial-defined CKD,PIONEER 6-CKD,Trial-defined CKD qualification,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02692716; manuscript reference [27],ClinicalTrials.gov NCT02692716; CKD qualifying branch,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,The trial documentation identifies CKD qualification but does not provide a sufficiently specific threshold for reproducible participant-level mapping.,Alternative OR branch preserved.
PIONEER 6,NCT02692716,PIONEER6-B3,Age ≥60 with cardiovascular risk factor,PIONEER 6-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02692716; manuscript reference [27],criterion_segment_id=NCT02692716-S009,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Alternative OR branch preserved.
PIONEER 6,NCT02692716,PIONEER6-B3,Age ≥60 with cardiovascular risk factor,PIONEER 6-AGE60,Age ≥60 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02692716; manuscript reference [27],criterion_segment_id=NCT02692716-S001,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥60; missing/invalid unresolved.,,,Alternative OR branch preserved.
PIONEER 6,NCT02692716,PIONEER6-B3,Age ≥60 with cardiovascular risk factor,PIONEER 6-RISK,At least one trial-defined cardiovascular risk factor,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT02692716; manuscript reference [27],criterion_segment_id=NCT02692716-S001,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,The exact risk-factor construct is not specified sufficiently for participant-level adjudication.,Alternative OR branch preserved.
REWIND,NCT01394952,REWIND-B1,Age ≥50 with observable component of established clinical vascular disease,REWIND-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01394952; manuscript reference [2],criterion_segment_id=NCT01394952-S010,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Age-stratified OR branches preserved from the exact AACT segment. this is the observable subbranch; the source-defined residual is retained separately.
REWIND,NCT01394952,REWIND-B1,Age ≥50 with observable component of established clinical vascular disease,REWIND-AGE50,Age ≥50 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01394952; manuscript reference [2],criterion_segment_id=NCT01394952-S002,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,,,Age-stratified OR branches preserved from the exact AACT segment. this is the observable subbranch; the source-defined residual is retained separately.
REWIND,NCT01394952,REWIND-B1,Age ≥50 with observable component of established clinical vascular disease,REWIND-ASCVD,Established coronary or cerebrovascular disease phenotype,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01394952; manuscript reference [2],criterion_segment_id=NCT01394952-S002,PROXY_OBSERVABLE,MCQ160C;MCQ160E;MCQ160F,Three-valued OR: any yes=positive; all no=negative; otherwise unresolved. Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,"Self-report captures CHD, MI, and stroke but not imaging stenosis, all revascularization constructs, or symptomatic PAD. All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.",,Age-stratified OR branches preserved from the exact AACT segment. this is the observable subbranch; the source-defined residual is retained separately.
REWIND,NCT01394952,REWIND-B1-RESIDUAL,Age ≥50 with residual established clinical vascular disease,REWIND-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01394952; manuscript reference [2],criterion_segment_id=NCT01394952-S010,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Age-stratified OR branches preserved from the exact AACT segment. this is the observable subbranch; the source-defined residual is retained separately.
REWIND,NCT01394952,REWIND-B1-RESIDUAL,Age ≥50 with residual established clinical vascular disease,REWIND-AGE50,Age ≥50 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01394952; manuscript reference [2],criterion_segment_id=NCT01394952-S002,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,,,Age-stratified OR branches preserved from the exact AACT segment. this is the observable subbranch; the source-defined residual is retained separately.
REWIND,NCT01394952,REWIND-B1-RESIDUAL,Age ≥50 with residual established clinical vascular disease,REWIND-CVD-RESIDUAL,Established clinical vascular disease outside the specified CHD/MI/stroke proxy,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01394952; manuscript reference [2],criterion_segment_id=NCT01394952-S002,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,The source uses established clinical vascular disease; residual manifestations are structurally unavailable.,source phenotype precedes NHANES observability.
REWIND,NCT01394952,REWIND-B2,Age ≥55 with subclinical vascular disease,REWIND-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01394952; manuscript reference [2],criterion_segment_id=NCT01394952-S010,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Age-stratified OR branches preserved from the exact AACT segment.
REWIND,NCT01394952,REWIND-B2,Age ≥55 with subclinical vascular disease,REWIND-AGE55,Age ≥55 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01394952; manuscript reference [2],criterion_segment_id=NCT01394952-S002,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥55; missing/invalid unresolved.,,,Age-stratified OR branches preserved from the exact AACT segment.
REWIND,NCT01394952,REWIND-B2,Age ≥55 with subclinical vascular disease,REWIND-SUBCLINICAL,Trial-defined subclinical vascular disease,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01394952; manuscript reference [2],criterion_segment_id=NCT01394952-S002,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,The subclinical vascular construct is not reproducibly represented by the specified variables.,Age-stratified OR branches preserved from the exact AACT segment.
REWIND,NCT01394952,REWIND-B3,Age ≥60 with at least two cardiovascular risk factors,REWIND-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01394952; manuscript reference [2],criterion_segment_id=NCT01394952-S010,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Age-stratified OR branches preserved from the exact AACT segment.
REWIND,NCT01394952,REWIND-B3,Age ≥60 with at least two cardiovascular risk factors,REWIND-AGE60,Age ≥60 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01394952; manuscript reference [2],criterion_segment_id=NCT01394952-S002,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥60; missing/invalid unresolved.,,,Age-stratified OR branches preserved from the exact AACT segment.
REWIND,NCT01394952,REWIND-B3,Age ≥60 with at least two cardiovascular risk factors,REWIND-RISK2,At least two trial-defined cardiovascular risk factors,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT01394952; manuscript reference [2],criterion_segment_id=NCT01394952-S002,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,The exact multivariable risk-factor set is not specified sufficiently for deterministic adjudication.,Age-stratified OR branches preserved from the exact AACT segment.
AMPLITUDE-O,NCT03496298,AMPLITUDEO-B1,Age ≥18 with observable component of cardiovascular disease,AMPLITUDE-O-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03496298; manuscript reference [28],criterion_segment_id=NCT03496298-S013,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Established-disease branch. this is the observable subbranch; the source-defined residual is retained separately.
AMPLITUDE-O,NCT03496298,AMPLITUDEO-B1,Age ≥18 with observable component of cardiovascular disease,AMPLITUDE-O-AGE18,Age ≥18 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03496298; manuscript reference [28],criterion_segment_id=NCT03496298-S001,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥18; missing/invalid unresolved.,,,Established-disease branch. this is the observable subbranch; the source-defined residual is retained separately.
AMPLITUDE-O,NCT03496298,AMPLITUDEO-B1,Age ≥18 with observable component of cardiovascular disease,AMPLITUDE-O-ASCVD,Established coronary or cerebrovascular disease phenotype,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03496298; manuscript reference [28],criterion_segment_id=NCT03496298-S001,PROXY_OBSERVABLE,MCQ160C;MCQ160E;MCQ160F,Three-valued OR: any yes=positive; all no=negative; otherwise unresolved. Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,"Self-report captures CHD, MI, and stroke but not imaging stenosis, all revascularization constructs, or symptomatic PAD. All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.",,Established-disease branch. this is the observable subbranch; the source-defined residual is retained separately.
AMPLITUDE-O,NCT03496298,AMPLITUDEO-B1-RESIDUAL,Age ≥18 with residual source-defined cardiovascular disease,AMPLITUDE-O-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03496298; manuscript reference [28],criterion_segment_id=NCT03496298-S013,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Established-disease branch. this is the observable subbranch; the source-defined residual is retained separately.
AMPLITUDE-O,NCT03496298,AMPLITUDEO-B1-RESIDUAL,Age ≥18 with residual source-defined cardiovascular disease,AMPLITUDE-O-AGE18,Age ≥18 years,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03496298; manuscript reference [28],criterion_segment_id=NCT03496298-S001,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥18; missing/invalid unresolved.,,,Established-disease branch. this is the observable subbranch; the source-defined residual is retained separately.
AMPLITUDE-O,NCT03496298,AMPLITUDEO-B1-RESIDUAL,Age ≥18 with residual source-defined cardiovascular disease,AMPLITUDE-O-CVD-RESIDUAL,Cardiovascular disease criteria outside the specified CHD/MI/stroke proxy,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03496298; manuscript reference [28],criterion_segment_id=NCT03496298-S001,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,The source refers to at least one cardiovascular-disease criterion without a specified complete component reconstruction.,source phenotype precedes NHANES observability.
AMPLITUDE-O,NCT03496298,AMPLITUDEO-B2,Sex-specific age with eGFR 25–<60 and cardiovascular risk factor,AMPLITUDE-O-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03496298; manuscript reference [28],criterion_segment_id=NCT03496298-S013,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,CKD-plus-risk alternative branch preserved.
AMPLITUDE-O,NCT03496298,AMPLITUDEO-B2,Sex-specific age with eGFR 25–<60 and cardiovascular risk factor,AMPLITUDE-O-EGFR,eGFR ≥25 and <60 mL/min/1.73 m²,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03496298; manuscript reference [28],criterion_segment_id=NCT03496298-S001,PROXY_OBSERVABLE,RIDAGEYR;RIAGENDR;LBXSCR;DERIVED_EGFR_2021_CKDEPI_CR,Valid 2021 CKD-EPI eGFR ≥25 and <60. A valid prespecified 2021 CKD-EPI eGFR satisfying the explicit branch threshold is accepted for DIRECT mapping of that renal subbranch.,"Trial equation/measurement timing is not exactly reproduced. The trial equation, specimen timing, and medical-record recency are not reproduced; no threshold is invented where the source did not freeze one.",,CKD-plus-risk alternative branch preserved.
AMPLITUDE-O,NCT03496298,AMPLITUDEO-B2,Sex-specific age with eGFR 25–<60 and cardiovascular risk factor,AMPLITUDE-O-RISK,At least one trial-defined cardiovascular risk factor,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03496298; manuscript reference [28],criterion_segment_id=NCT03496298-S001,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,The exact risk-factor construct is not specified sufficiently for deterministic adjudication.,CKD-plus-risk alternative branch preserved.
AMPLITUDE-O,NCT03496298,AMPLITUDEO-B2,Sex-specific age with eGFR 25–<60 and cardiovascular risk factor,AMPLITUDE-O-SEXAGE,Male age ≥50 or female age ≥55,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03496298; manuscript reference [28],criterion_segment_id=NCT03496298-S001,OBSERVABLE,RIAGENDR;RIDAGEYR,"RIAGENDR=1 and age≥50, or RIAGENDR=2 and age≥55; missing sex/age unresolved.",,,CKD-plus-risk alternative branch preserved.
SOUL,NCT03914326,SOUL-B1,Established coronary/cerebrovascular disease,SOUL-AGE50,Age ≥50 years,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03914326; manuscript reference [4],criterion_segment_id=NCT03914326-S011,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,,,Observable established-disease branch.
SOUL,NCT03914326,SOUL-B1,Established coronary/cerebrovascular disease,SOUL-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03914326; manuscript reference [4],criterion_segment_id=NCT03914326-S004,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Observable established-disease branch.
SOUL,NCT03914326,SOUL-B1,Established coronary/cerebrovascular disease,SOUL-ASCVD,Established coronary or cerebrovascular disease phenotype,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03914326; manuscript reference [4],criterion_segment_id=NCT03914326-S010,PROXY_OBSERVABLE,MCQ160C;MCQ160E;MCQ160F,Three-valued OR: any yes=positive; all no=negative; otherwise unresolved. Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,"Self-report captures CHD, MI, and stroke but not imaging stenosis, all revascularization constructs, or symptomatic PAD. All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.",,Observable established-disease branch.
SOUL,NCT03914326,SOUL-B1-RESIDUAL,Established coronary/cerebrovascular disease not captured by specified proxy,SOUL-AGE50,Age ≥50 years,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03914326; manuscript reference [4],criterion_segment_id=NCT03914326-S011,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,,,Observable established-disease branch.
SOUL,NCT03914326,SOUL-B1-RESIDUAL,Established coronary/cerebrovascular disease not captured by specified proxy,SOUL-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03914326; manuscript reference [4],criterion_segment_id=NCT03914326-S004,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,Observable established-disease branch.
SOUL,NCT03914326,SOUL-B1-RESIDUAL,Established coronary/cerebrovascular disease not captured by specified proxy,SOUL-CVD-RESIDUAL,"Source-defined revascularization, stenosis, or ischemia manifestations outside the specified proxy",CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03914326; manuscript reference [4],criterion_segment_id=NCT03914326-S010,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,"The exact source includes revascularization, stenosis, and imaging/stress-test constructs not specified in NHANES.",source phenotype precedes NHANES observability.
SOUL,NCT03914326,SOUL-B2,Established peripheral arterial disease,SOUL-AGE50,Age ≥50 years,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03914326; manuscript reference [4],criterion_segment_id=NCT03914326-S011,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,,,PAD alternative branch.
SOUL,NCT03914326,SOUL-B2,Established peripheral arterial disease,SOUL-T2D,Diagnosed type 2 diabetes,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03914326; manuscript reference [4],criterion_segment_id=NCT03914326-S004,PROXY_OBSERVABLE,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,PAD alternative branch.
SOUL,NCT03914326,SOUL-B2,Established peripheral arterial disease,SOUL-PAD,Trial-defined symptomatic peripheral arterial disease,CORE_BRANCH_DEFINING,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03914326; manuscript reference [4],criterion_segment_id=NCT03914326-S010,UNAVAILABLE,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,,Symptomatic PAD is not specified in NHANES 2017–March 2020.,PAD alternative branch.
SOUL,NCT03914326,SOUL-B3,Chronic kidney disease,SOUL-AGE50,Age ≥50 years,CORE_NECESSARY,YES,ClinicalTrials.gov record / trial protocol / primary publication,https://clinicaltrials.gov/study/NCT03914326; manuscript reference [4],criterion_segment_id=NCT03914326-S011,OBSERVABLE,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,,,CKD alternative branch.
