trial,branch_id,criterion_id,criterion_role,role_justification,observability_class,NHANES_release,NHANES_variable,coding_valid_values,missing_unresolved_coding,used_in_current_mapping,proxy_information_loss,proxy_acceptance_for_direct,proxy_direct_boundary,unavailable_reason,source_provenance,source_phenotype_precedes_observability
HARMONY Outcomes,HARMONY-B1-RESIDUAL,HARMONY Outcomes-AGE40,CORE_NECESSARY,Common population requirement.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥40; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT02465515; manuscript reference [26],YES
HARMONY Outcomes,HARMONY-B1-RESIDUAL,HARMONY Outcomes-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT02465515; manuscript reference [26],YES
HARMONY Outcomes,HARMONY-B1-RESIDUAL,HARMONY Outcomes-CVD-RESIDUAL,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,UNAVAILABLE,2017–March 2020,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,NO,,NOT_APPLICABLE,NOT_APPLICABLE,The source disease categories are broader than the specified self-report proxy; negative proxy cannot exclude them.,ClinicalTrials.gov NCT02465515; manuscript reference [26],YES
HARMONY Outcomes,HARMONY-B2,HARMONY Outcomes-AGE40,CORE_NECESSARY,Common population requirement.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥40; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT02465515; manuscript reference [26],YES
HARMONY Outcomes,HARMONY-B2,HARMONY Outcomes-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT02465515; manuscript reference [26],YES
HARMONY Outcomes,HARMONY-B2,HARMONY Outcomes-PAD,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,UNAVAILABLE,2017–March 2020,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,NO,,NOT_APPLICABLE,NOT_APPLICABLE,Symptomatic PAD is not specified in NHANES 2017–March 2020.,ClinicalTrials.gov NCT02465515; manuscript reference [26],YES
PIONEER 6,PIONEER6-B1,PIONEER 6-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT02692716; manuscript reference [27],YES
PIONEER 6,PIONEER6-B1,PIONEER 6-AGE50,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT02692716; manuscript reference [27],YES
PIONEER 6,PIONEER6-B1,PIONEER 6-ASCVD,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,PROXY_OBSERVABLE,2017–March 2020,MCQ160C;MCQ160E;MCQ160F,Three-valued OR: any yes=positive; all no=negative; otherwise unresolved. Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-report captures CHD, MI, and stroke but not imaging stenosis, all revascularization constructs, or symptomatic PAD. All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.",Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.,,ClinicalTrials.gov NCT02692716; manuscript reference [27],YES
PIONEER 6,PIONEER6-B1-RESIDUAL,PIONEER 6-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT02692716; manuscript reference [27],YES
PIONEER 6,PIONEER6-B1-RESIDUAL,PIONEER 6-AGE50,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT02692716; manuscript reference [27],YES
PIONEER 6,PIONEER6-B1-RESIDUAL,PIONEER 6-CVD-RESIDUAL,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,UNAVAILABLE,2017–March 2020,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,NO,,NOT_APPLICABLE,NOT_APPLICABLE,The source uses broad cardiovascular disease; residual manifestations are structurally unavailable.,ClinicalTrials.gov NCT02692716; manuscript reference [27],YES
PIONEER 6,PIONEER6-B2,PIONEER 6-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT02692716; manuscript reference [27],YES
PIONEER 6,PIONEER6-B2,PIONEER 6-AGE50,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT02692716; manuscript reference [27],YES
PIONEER 6,PIONEER6-B2,PIONEER 6-CKD,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,UNAVAILABLE,2017–March 2020,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,NO,,NOT_APPLICABLE,NOT_APPLICABLE,The trial documentation identifies CKD qualification but does not provide a sufficiently specific threshold for reproducible participant-level mapping.,ClinicalTrials.gov NCT02692716; manuscript reference [27],YES
PIONEER 6,PIONEER6-B3,PIONEER 6-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT02692716; manuscript reference [27],YES
PIONEER 6,PIONEER6-B3,PIONEER 6-AGE60,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥60; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT02692716; manuscript reference [27],YES
PIONEER 6,PIONEER6-B3,PIONEER 6-RISK,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,UNAVAILABLE,2017–March 2020,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,NO,,NOT_APPLICABLE,NOT_APPLICABLE,The exact risk-factor construct is not specified sufficiently for participant-level adjudication.,ClinicalTrials.gov NCT02692716; manuscript reference [27],YES
REWIND,REWIND-B1,REWIND-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT01394952; manuscript reference [2],YES
REWIND,REWIND-B1,REWIND-AGE50,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT01394952; manuscript reference [2],YES
REWIND,REWIND-B1,REWIND-ASCVD,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,PROXY_OBSERVABLE,2017–March 2020,MCQ160C;MCQ160E;MCQ160F,Three-valued OR: any yes=positive; all no=negative; otherwise unresolved. Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-report captures CHD, MI, and stroke but not imaging stenosis, all revascularization constructs, or symptomatic PAD. All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.",Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.,,ClinicalTrials.gov NCT01394952; manuscript reference [2],YES
REWIND,REWIND-B1-RESIDUAL,REWIND-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT01394952; manuscript reference [2],YES
REWIND,REWIND-B1-RESIDUAL,REWIND-AGE50,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥50; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT01394952; manuscript reference [2],YES
REWIND,REWIND-B1-RESIDUAL,REWIND-CVD-RESIDUAL,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,UNAVAILABLE,2017–March 2020,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,NO,,NOT_APPLICABLE,NOT_APPLICABLE,The source uses established clinical vascular disease; residual manifestations are structurally unavailable.,ClinicalTrials.gov NCT01394952; manuscript reference [2],YES
REWIND,REWIND-B2,REWIND-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT01394952; manuscript reference [2],YES
REWIND,REWIND-B2,REWIND-AGE55,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥55; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT01394952; manuscript reference [2],YES
REWIND,REWIND-B2,REWIND-SUBCLINICAL,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,UNAVAILABLE,2017–March 2020,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,NO,,NOT_APPLICABLE,NOT_APPLICABLE,The subclinical vascular construct is not reproducibly represented by the specified variables.,ClinicalTrials.gov NCT01394952; manuscript reference [2],YES
REWIND,REWIND-B3,REWIND-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT01394952; manuscript reference [2],YES
REWIND,REWIND-B3,REWIND-AGE60,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥60; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT01394952; manuscript reference [2],YES
REWIND,REWIND-B3,REWIND-RISK2,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,UNAVAILABLE,2017–March 2020,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,NO,,NOT_APPLICABLE,NOT_APPLICABLE,The exact multivariable risk-factor set is not specified sufficiently for deterministic adjudication.,ClinicalTrials.gov NCT01394952; manuscript reference [2],YES
AMPLITUDE-O,AMPLITUDEO-B1,AMPLITUDE-O-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT03496298; manuscript reference [28],YES
AMPLITUDE-O,AMPLITUDEO-B1,AMPLITUDE-O-AGE18,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥18; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT03496298; manuscript reference [28],YES
AMPLITUDE-O,AMPLITUDEO-B1,AMPLITUDE-O-ASCVD,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,PROXY_OBSERVABLE,2017–March 2020,MCQ160C;MCQ160E;MCQ160F,Three-valued OR: any yes=positive; all no=negative; otherwise unresolved. Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-report captures CHD, MI, and stroke but not imaging stenosis, all revascularization constructs, or symptomatic PAD. All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.",Any specified CHD/MI/stroke proxy positive is accepted for DIRECT mapping of the coronary/cerebrovascular subbranch only.,All-negative proxy contradicts only that subbranch and cannot exclude PAD/PVD or other source-defined CVD residual branches.,,ClinicalTrials.gov NCT03496298; manuscript reference [28],YES
AMPLITUDE-O,AMPLITUDEO-B1-RESIDUAL,AMPLITUDE-O-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT03496298; manuscript reference [28],YES
AMPLITUDE-O,AMPLITUDEO-B1-RESIDUAL,AMPLITUDE-O-AGE18,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,OBSERVABLE,2017–March 2020,RIDAGEYR,Valid RIDAGEYR ≥18; missing/invalid unresolved.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,,NOT_APPLICABLE,NOT_APPLICABLE,,ClinicalTrials.gov NCT03496298; manuscript reference [28],YES
AMPLITUDE-O,AMPLITUDEO-B1-RESIDUAL,AMPLITUDE-O-CVD-RESIDUAL,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,UNAVAILABLE,2017–March 2020,NONE,No participant-level value is evaluated; structural unobservability invokes POTENTIAL when all evaluable core criteria are satisfied.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,NO,,NOT_APPLICABLE,NOT_APPLICABLE,The source refers to at least one cardiovascular-disease criterion without a specified complete component reconstruction.,ClinicalTrials.gov NCT03496298; manuscript reference [28],YES
AMPLITUDE-O,AMPLITUDEO-B2,AMPLITUDE-O-T2D,CORE_NECESSARY,Common population requirement.,PROXY_OBSERVABLE,2017–March 2020,DIQ010,DIQ010=1; codes 3/7/9/missing unresolved; DIQ010=2 contradicts branch. DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Self-reported physician diagnosis does not reproduce trial adjudication, diabetes duration, or type confirmation. This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",DIQ010=1 is accepted for DIRECT mapping of the diagnosed-T2D criterion only; DIQ010=2 contradicts it; unresolved codes are INDETERMINATE.,"This is phenotype mapping, not trial-adjudicated diabetes or exact eligibility.",,ClinicalTrials.gov NCT03496298; manuscript reference [28],YES
AMPLITUDE-O,AMPLITUDEO-B2,AMPLITUDE-O-EGFR,CORE_BRANCH_DEFINING,Defines an explicit alternative phenotype branch.,PROXY_OBSERVABLE,2017–March 2020,RIDAGEYR;RIAGENDR;LBXSCR;DERIVED_EGFR_2021_CKDEPI_CR,Valid 2021 CKD-EPI eGFR ≥25 and <60. A valid prespecified 2021 CKD-EPI eGFR satisfying the explicit branch threshold is accepted for DIRECT mapping of that renal subbranch.,Observed contradiction → NOT_ALIGNED for that branch; missing observable/proxy without contradiction → INDETERMINATE; structural UNAVAILABLE → POTENTIAL if otherwise aligned.,YES,"Trial equation/measurement timing is not exactly reproduced. The trial equation, specimen timing, and medical-record recency are not reproduced; no threshold is invented where the source did not freeze one.",A valid prespecified 2021 CKD-EPI eGFR satisfying the explicit branch threshold is accepted for DIRECT mapping of that renal subbranch.,"The trial equation, specimen timing, and medical-record recency are not reproduced; no threshold is invented where the source did not freeze one.",,ClinicalTrials.gov NCT03496298; manuscript reference [28],YES
